cntry.code,built.land,carbon,crop,fishing,forest,grazing,EFconsPC12
AFG,0.039722317,0.287220924,0.286620085,0.000151862,0.075891617,0.201745259,0.891352062
ALB,0.056557255,0.954436961,0.80343487,0.024234346,0.266958387,0.245844397,2.351466216
DZA,0.032168215,1.343543871,0.59461865,0.012684583,0.172053313,0.168067939,2.323136571
AGO,0.033120912,0.207831514,0.293777573,0.09241436,0.112344511,0.1394116,0.87890047
ARG,0.096127538,1.27795383,0.730494808,0.08924631,0.28115762,0.768348773,3.24332888
ARM,0.071650238,0.886961256,0.709626479,0.006861373,0.336375507,0.177865732,2.189340585
AUS,0.134900522,5.225686413,2.555849074,0.117118095,0.912306546,0.62381128,9.569671929
AUT,0.146549941,4.133909072,0.781850022,0.056393941,0.629000335,0.268770335,6.016473647
AZE,0.059163404,1.239411362,0.622824418,0.011699255,0.108273997,0.216692325,2.258064761
BGD,0.066248613,0.283115298,0.281185428,0.019776306,0.079498057,0.004508976,0.734332678
BRB,0.040161352,2.429111479,0.529846005,0.234955446,0.136590222,0.240855828,3.611520331
BLR,0.08548027,2.370568519,1.257503942,0.0785018,0.902088202,0.12760078,4.821743513
BEL,0.256608241,4.253603178,1.118815243,0.113416766,0.777989839,0.476104167,6.996537434
BEN,0.035910986,0.345258788,0.482618855,0.069558007,0.263149021,0.041956359,1.238452017
BMU,,,,,,,6.146273247
BTN,0.237037841,0.795064968,0.472198498,0.025127155,2.752213535,0.418582701,4.700224699
BOL,0.060369218,0.708368073,0.42142069,0.008227069,0.174253844,1.719476113,3.092115007
BIH,0.014735288,1.833029712,0.606131905,0.015972394,0.48724366,0.267639262,3.224752221
BWA,,,,,,,3.406437433
BRA,0.083332645,0.863018257,0.583322701,0.044517275,0.587626952,0.833401934,2.995219764
VGB,,,,,,,2.752085035
BGR,0.120970435,2.144194332,0.57053005,0.028962341,0.336157957,0.124895657,3.325710772
BFA,0.05228096,0.128133744,0.449366635,0.025530578,0.357926674,0.167120924,1.180359516
BDI,0.030239435,0.040983274,0.194868042,0.003361366,0.265636982,0.062792184,0.597881282
CPV,,,,,,,1.615423883
KHM,,,,,,,1.222271849
CMR,0.049956655,0.189093385,0.519371212,0.071038408,0.199406962,0.101300364,1.130166986
CAN,0.067799081,5.322769429,1.407574029,0.121432152,1.194832484,0.338617553,8.453024728
CAF,0.033839644,0.039970863,0.283954613,0.018442808,0.25075263,0.538304596,1.165265155
TCD,0.04322388,0.028029482,0.337865952,0.012350403,0.265897604,0.737880015,1.425247335
CHL,0.141085511,2.062846883,0.591200655,0.252006197,0.986523544,0.325041373,4.358704163
CHN,0.112084017,2.460575653,0.531751429,0.080528428,0.1952694,0.129859676,3.510068604
COL,0.083494241,0.669731434,0.347996413,0.032925024,0.159295597,0.563568734,1.857011443
COM,,,,,,,0.982330058
COG,0.031472641,0.379540592,0.212957311,0.087982692,0.372988865,0.088887956,1.173830057
COD,0.047103647,0.078398001,0.138128768,0.013878524,0.480373233,0.012537469,0.770419642
CRI,0.092446699,1.066056151,0.384052135,0.07354484,0.70047208,0.215608152,2.532180058
CIV,0.073961664,0.24399325,0.457958584,0.120302085,0.235672417,0.052651849,1.184539848
HRV,0.052043223,2.206976874,0.674725259,0.068415243,0.700537565,0.146453112,3.849151277
CUB,0.024109479,1.218119434,0.453478026,0.021026633,0.086113874,0.108304499,1.911151947
CYP,0.049273252,2.784055453,0.74877234,0.151996636,0.229724822,0.084403424,4.048225927
CZE,0.111593216,3.508510242,0.50412004,0.030629924,0.74743321,0.253661914,5.155948546
DNK,0.235503688,3.087910675,1.15714958,0.230672045,0.768425405,0.469597803,5.949259196
DJI,,,,,,,2.339911421
DMA,0,1.335594141,0.617470085,0.192092128,0.143351524,0.147180665,2.435688543
DOM,0.042167344,0.875955223,0.328386337,0.041796312,0.120636237,0.117065367,1.52600682
ECU,0.060048826,1.029562315,0.288799637,0.002587258,0.252288424,0.303765048,1.937051508
EGY,0.140368093,0.968259534,0.614012914,0.041379417,0.155460872,0.072141715,1.991622545
SLV,0.045951561,0.753785283,0.437271556,0.117869697,0.41186716,0.215449822,1.982195079
ERI,0.026424552,0.040724084,0.121374766,0.016694938,0.080067736,0.230909601,0.516195677
EST,0.10949096,3.299341326,1.152429479,0.017650101,2.115677378,0.136682606,6.831271851
ETH,0.056199182,0.067976356,0.291053987,0.000525237,0.462586134,0.116172431,0.994513328
FJI,0.041601494,0.929855122,0.530425226,1.134516176,0.707290196,0.204793035,3.548481251
FIN,,,,,,,6.190250844
FRA,0.197984082,2.851606433,1.189906905,0.180249302,0.535040368,0.270143212,5.224930302
PYF,0,1.833526248,0.7206504,0.779422128,0.121020425,0.652663191,4.107282391
GMB,0.025837612,0.160795818,0.448208362,0.077108375,0.203389914,0.051247624,0.966587705
GEO,,,,,,,1.721994993
DEU,0.232885267,3.453649446,1.086841726,0.048818095,0.493241651,0.146440989,5.461877173
GHA,0.070663822,0.414775548,0.537390679,0.183429199,0.662698762,0.071510678,1.940468688
GRC,0.061377427,2.712068783,1.121875885,0.077508848,0.271136042,0.348537023,4.592504008
GRD,,,,,,,2.937141708
GLP,0.002702713,3.253417087,0.102619808,0.260916583,0.163103826,0.031448962,3.814208979
GTM,0.063618414,0.517239553,0.347318054,0.027942589,0.57334483,0.15317487,1.68263831
GIN,0.038521914,0.169759056,0.368055265,0.056714574,0.442680746,0.318349164,1.39408072
GNB,0.053648521,0.094758532,0.328713079,0.007930941,0.652798649,0.346876687,1.484726409
GUY,0.061553582,1.508313751,0.706990972,0.051396008,0.802813017,0.228255381,3.359322709
HTI,0.027687459,0.120505269,0.263364931,0.010167772,0.102722498,0.036561206,0.561009134
HND,,,,,,,1.704902472
HUN,0.130518382,1.95463318,0.430787571,0.017615125,0.357731023,0.084603779,2.975889059
IND,0.045769182,0.53699228,0.318559346,0.015493565,0.132322931,0.007375138,1.056512441
IDN,0.054613295,0.576556962,0.421151392,0.204796415,0.192566391,0.026542613,1.476227067
IRN,,,,,,,2.995736084
IRQ,,,,,,,1.851599411
IRL,0.122582635,2.597299717,1.019303024,0.136465142,0.451629455,0.484345625,4.811625597
ISR,0.076459244,4.913581487,0.843807577,0.066776809,0.357634528,0.22028058,6.478540224
ITA,0.057973031,2.881649157,0.876984817,0.115317737,0.424425867,0.330561981,4.686912591
JAM,,,,,,,1.757622803
JPN,0.097058983,3.670111008,0.502791099,0.341305858,0.265892068,0.105098929,4.982257945
JOR,0.06934906,1.180813708,0.542834917,0.034136745,0.170513391,0.233958222,2.231606042
KEN,0.037200031,0.199409199,0.25234507,0.05055653,0.269793307,0.238177927,1.047482064
PRK,0.05383639,2.169426028,0.261960734,0.021198238,0.139266109,0.001696579,2.647384078
KOR,0.050273292,4.382728186,0.665246577,0.442857382,0.215585749,0.123111922,5.879803107
KGZ,,,,,,,1.828145001
LAO,0.110665628,0.207680148,0.542150559,0.014474332,0.44353337,0.064065116,1.382569154
LVA,0.123346913,1.766281893,2.187383442,0.089349515,2.043228933,0.092975182,6.30256588
LBN,0.052395473,2.318506368,0.597724157,0.044122911,0.231988119,0.284453821,3.529190849
LSO,,,,,,,1.59926717
LBR,,,,,,,1.145961557
LBY,,,,,,,4.051670587
LTU,0.137519066,2.238785169,1.815411213,0.172097908,1.280807248,0.214770064,5.859390667
LUX,0.136541271,10.6244219,1.034018353,0.13769031,1.032954681,0.750499495,13.71612601
MKD,0.022413849,2.223637588,0.605289979,0.026179686,0.315007455,0.218789168,3.411317726
MDG,0.055238386,0.069954461,0.256861503,0.024259126,0.237178112,0.337346979,0.980838568
MWI,0.052261376,0.065600471,0.42196306,0.013710358,0.199333121,0.046414395,0.799282781
MYS,0.070207528,2.360254296,0.64784603,0.377606673,0.341429138,0.123858255,3.921201918
MLI,0.053381393,0.08346436,0.484382254,0.024526982,0.155516507,0.60742272,1.408694215
MTQ,,,,,,,4.570556872
MRT,,,,,,,2.335405842
MUS,0,1.910152053,0.481912988,0.501603337,0.178177506,0.21028085,3.282126734
MEX,0.045938928,1.715262844,0.525378512,0.058132695,0.25374768,0.23754337,2.83600403
MDA,0.026653231,0.918153602,0.328285955,0.047884634,0.129886343,0.071665683,1.522529448
MNG,,,,,,,6.804514476
MNE,0.009580978,2.169174223,0.607245918,0.046488119,0.617474127,0.333378664,3.783342029
MAR,0.031601143,0.710468005,0.56276314,0.054223409,0.139751629,0.169628761,1.668436085
MOZ,0.044460516,0.181132578,0.256473212,0.027200437,0.283279644,0.028454666,0.821001053
MMR,0.095171995,0.210295326,0.688557462,0.096874197,0.323749119,0.006584915,1.421233012
NPL,0.098825463,0.165632813,0.406498188,0.004316233,0.210367136,0.068008784,0.953648617
NLD,0.163047981,4.152840412,0.734507027,0.132307343,0.391366631,0.582783658,6.156853053
NZL,0.119744042,2.539849656,0.604659761,0.593150089,1.082061504,0.237659017,5.17712407
NIC,0.043967923,0.441549137,0.328418965,0.014462746,0.423393624,0.119341537,1.371133933
NER,0.026116715,0.090003476,0.616939284,0.019970831,0.256324772,0.468700877,1.478055955
NGA,0.04574063,0.212776276,0.511942482,0.06201624,0.193296617,0.095006827,1.120779072
NOR,0.118622267,2.329790212,1.234097759,0.836132302,0.792498146,0.188892325,5.50003301
OMN,,,,,,,6.652265634
PAK,0.033876484,0.325362447,0.258887715,0.015186125,0.085400794,0.005289091,0.724002656
PAN,0.024558453,1.360166533,0.355608452,0.412773175,0.195949661,0.404684763,2.753741038
PNG,,,,,,,1.600692376
PRY,0.13338097,0.550170632,1.116543677,0.007159197,0.878714008,1.144398781,3.830367266
PER,0.069565065,0.674920849,0.473937771,0.299966025,0.187679777,0.51095451,2.217023997
PHL,0.051484692,0.327288111,0.346295506,0.228752952,0.09596878,0.028636208,1.078426248
POL,0.081980231,2.702906,0.790653685,0.05993941,0.773923138,0.037853018,4.447255482
PRT,0.046121773,2.240724547,0.995111662,0.296430836,0.095783404,0.257166087,3.931338309
REU,0,3.928362564,0.132842183,0.091798736,0.187710358,0.00655454,4.347268381
ROU,0.096817967,1.600020589,0.585345248,0.028532252,0.372561105,0.063048999,2.746326161
RUS,0.031523737,3.799384602,0.72138947,0.196702171,0.672485118,0.153404396,5.574889494
RWA,0.054322985,0.081030107,0.437097299,0.010429837,0.261664859,0.052756956,0.897302044
KNA,,,,,,,4.319364606
LCA,0.002254463,1.613710229,0.365326716,0.248667183,0.171773412,0.101985069,2.503717072
WSM,,,,,,,2.560911352
STP,0,0.403444568,0.365390146,0.458182738,0.284506849,0.021508351,1.533032652
SEN,0.023080022,0.275732265,0.322207532,0.127551371,0.209857702,0.207278243,1.165707134
SRB,0.047297361,1.812484953,0.542102815,0.030195997,0.485966909,0.024196816,2.942244851
SLE,0.0537133,0.091508403,0.445268066,0.111384872,0.378772763,0.11455073,1.195198134
SGP,0.031790206,5.771240662,0.647186923,0.215844491,0.75608494,0.240938999,7.663086221
SVK,0.088834587,2.999108465,0.301036779,0.033148947,0.717101828,0.081008969,4.220239576
SVN,0.035393491,3.268709803,0.609614496,0.045332933,0.655912602,0.169784958,4.784748283
SOM,0.05507416,0.049537642,0.151819798,0.005143678,0.527881397,0.436529409,1.225986084
ZAF,0.038341888,2.5562913,0.414733195,0.0818865,0.291100429,0.114163236,3.496516548
SSD,0.060346615,0.045485923,0.375695187,0.00513637,0.154842134,1.053194001,1.694700229
ESP,0.032976179,2.379055694,0.745318992,0.322109543,0.174717095,0.147018192,3.801195694
LKA,0.04979183,0.657749924,0.303952927,0.281407364,0.171066076,0.012502672,1.476470793
SDN,0.017440103,0.190611306,0.248395442,0.001278016,0.177365172,0.680699747,1.315789787
SWZ,,,,,,,2.179857033
SWE,0.229523852,3.377489898,1.397533378,0.116880827,1.324603134,0.264458031,6.710489119
CHE,0.114761994,3.745617894,0.710120377,0.06478285,0.351476557,0.214700828,5.201460501
SYR,0.043353738,0.828948107,0.536671523,0.010493296,0.039563891,0.098899576,1.557930131
TJK,,,,,,,0.917638473
TZA,0.053509343,0.163408629,0.418142202,0.093067118,0.224035613,0.329386266,1.281549172
THA,0.064491528,1.550065436,0.644612183,0.131165829,0.235067432,0.018512749,2.643915157
TLS,,,,,,,0.471911504
TGO,0.022006885,0.281282556,0.325560786,0.072277147,0.267831147,0.094846313,1.063804834
TON,0,1.455500263,1.140439209,0.096530731,0.140377976,0.318933132,3.151781311
TTO,,,,,,,7.119641446
TUN,0.033344498,1.084319628,0.722616396,0.065074901,0.276579484,0.091955628,2.273890534
TUR,0.033503497,1.942427276,0.827039663,0.04060762,0.337492997,0.137297802,3.318368855
TKM,,,,,,,5.521196184
UGA,0.034922342,0.086737445,0.323699137,0.107588166,0.549504405,0.153589738,1.256041233
UKR,0.063548626,1.983729287,0.598107446,0.063985633,0.159193587,0.015048557,2.883613135
GBR,0.168780674,3.254698711,0.776514998,0.082812091,0.443626879,0.273956585,5.000389938
USA,0.087997844,5.994889353,1.088579027,0.121756452,0.802574935,0.308093316,8.403890927
URY,,,,,,,2.704484995
UZB,0.077450502,1.405685045,0.590660282,0.00296829,0.084033515,0.125049728,2.285847362
VEN,0.032479895,2.133251992,0.423996071,0.096536604,0.120531764,0.741513792,3.548310118
VNM,0.098431343,0.74254783,0.480695122,0.047513898,0.193790863,0.008669436,1.571648492
WLF,,,,,,,2.277936559
YEM,0.037139841,0.362218667,0.312078787,0.051474485,0.035448088,0.13697328,0.935333147
ZMB,0.036230935,0.231604645,0.182536404,0.017688387,0.315368502,0.170638023,0.954066896
ZWE,0.019329069,0.382853973,0.183766065,0.009179779,0.270342607,0.298688369,1.164159861