cntry.code,PPP2011.15
ABW,1.260119
AFG,18.561363
AGO,69.890554
ALB,43.498857
AND,
ARB,
ARE,2.408118
ARG,4.352816
ARM,194.688056
ASM,
ATG,1.687359
AUS,1.483809
AUT,0.806480
AZE,0.348868
BDI,523.266649
BEL,0.810841
BEN,221.343401
BFA,212.552731
BGD,25.752610
BGR,0.682917
BHR,0.204070
BHS,0.964909
BIH,0.696556
BLR,3735.671913
BLZ,1.151186
BMU,1.602778
BOL,3.114694
BRA,1.649586
BRB,1.942748
BRN,0.661189
BTN,18.790196
BWA,3.840780
CAF,277.244489
CAN,1.239032
CEB,
CHE,1.318371
CHI,
CHL,355.957714
CHN,3.509489
CIV,233.302004
CMR,230.521864
COD,539.566378
COG,250.893578
COL,1180.078908
COM,209.628719
CPV,47.632595
CRI,365.905860
CSS,
CUB,0.325377
CUW,1.292182
CYM,0.958799
CYP,0.685578
CZE,12.972072
DEU,0.777906
DJI,96.816325
DMA,1.809030
DNK,7.395469
DOM,20.194278
DZA,30.809184
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,0.543748
EGY,2.036854
EMU,
ERI,5.932087
ESP,0.682497
EST,0.522434
ETH,6.585331
EUU,
FCS,
FIN,0.904062
FJI,1.069892
FRA,0.819997
FRO,
FSM,0.889598
GAB,283.521264
GBR,0.696487
GEO,0.856064
GHA,0.924849
GIB,
GIN,2920.716681
GMB,10.755647
GNB,218.492183
GNQ,277.745826
GRC,0.652319
GRD,1.820905
GRL,
GTM,3.740724
GUM,
GUY,115.666752
HIC,
HKG,5.592932
HND,10.291173
HPC,
HRV,3.608380
HTI,20.702276
HUN,126.801834
IBD,
IBT,
IDA,
IDB,
IDN,3811.605477
IDX,
IMN,
IND,16.357334
INX,
IRL,0.816888
IRN,6428.017371
IRQ,484.972294
ISL,137.492417
ISR,3.875953
ITA,0.740833
JAM,60.388552
JOR,0.309373
JPN,103.586110
KAZ,87.391603
KEN,38.723660
KGZ,19.427286
KHM,1347.098150
KIR,0.953373
KNA,1.737125
KOR,867.212150
KWT,0.162932
LAC,
LAO,2590.141640
LBN,862.836001
LBR,0.533528
LBY,0.612773
LCA,1.877416
LCN,
LDC,
LIC,
LIE,
LKA,42.982943
LMC,
LMY,
LSO,4.231766
LTE,
LTU,0.446888
LUX,0.893743
LVA,0.498756
MAC,5.118273
MAF,
MAR,3.611526
MCO,
MDA,6.099205
MDG,730.745181
MDV,9.230762
MEA,
MEX,7.962468
MHL,0.920126
MIC,
MKD,19.063374
MLI,210.400496
MLT,0.582461
MMR,244.939515
MNA,
MNE,0.363625
MNG,601.996280
MNP,
MOZ,16.931720
MRT,113.375521
MUS,16.102864
MWI,112.563825
MYS,1.436971
NAC,
NAM,5.377779
NCL,
NER,224.539650
NGA,81.965784
NIC,9.806845
NLD,0.812941
NOR,9.223603
NPL,27.344455
NRU,0.998754
NZL,1.462494
OED,
OMN,0.181846
OSS,
PAK,26.705273
PAN,0.581987
PER,1.516899
PHL,17.953197
PLW,0.813497
PNG,1.841104
POL,1.775738
PRE,
PRI,0.809591
PRK,
PRT,0.594397
PRY,2289.812427
PSE,2.247401
PSS,
PST,
PYF,
QAT,2.370976
ROU,1.591615
RUS,20.023539
RWA,276.433771
SAS,
SAU,1.744606
SDN,2.225849
SEN,228.835024
SGP,0.866674
SLB,6.695918
SLE,1794.485467
SLV,0.495162
SMR,0.710257
SOM,11427.680000
SRB,38.735567
SSA,
SSD,1.586277
SSF,
SST,
STP,10179.667565
SUR,1.921102
SVK,0.493772
SVN,0.597706
SWE,8.749073
SWZ,4.309982
SXM,1.379054
SYC,7.268679
SYR,21.324900
TCA,1.100246
TCD,235.265760
TEA,
TEC,
TGO,220.860887
THA,12.323934
TJK,1.931852
TKM,1.479592
TLA,
TLS,0.521504
TMN,
TON,1.446178
TSA,
TSS,
TTO,3.733575
TUN,0.623538
TUR,1.088656
TUV,1.105740
TZA,593.765932
UGA,992.695294
UKR,4.174118
UMC,
URY,17.514247
USA,1.000000
UZB,753.996889
VCT,1.669475
VEN,3.848654
VGB,1.075584
VIR,
VNM,7359.862986
VUT,100.348895
WLD,
WSM,1.684783
XKX,0.329236
YEM,87.141480
ZAF,5.158233
ZMB,2.663810
ZWE,0.513028