cntry.code,cropland14
ABW,
AFG,0.212909353
AGO,0.232614101
ALB,2.934306569
AND,
ARB,0.628883179
ARE,0.476076555
ARG,0.365404923
ARM,2.026343519
ASM,9.5
ATG,2.272727273
AUS,0.045559273
AUT,0.792506332
AZE,2.824722064
BDI,13.62928349
BEL,0.736459709
BEN,4.434196524
BFA,0.365497076
BGD,6.376277176
BGR,1.169859985
BHR,3.891050584
BHS,0.3996004
BIH,2.0703125
BLR,0.581538613
BLZ,1.402893468
BMU,
BOL,0.214160436
BRA,0.786299344
BRB,2.325581395
BRN,1.138519924
BTN,0.325314164
BWA,0.003529017
CAF,0.128415037
CAN,0.510363985
CEB,1.250724653
CHE,0.64530823
CHI,
CHL,0.614633936
CHN,1.706395393
CIV,14.1509434
CMR,3.278965962
COD,0.396991685
COG,0.225475842
COL,1.688418206
COM,28.4793122
CPV,0.992555831
CRI,6.149627889
CSS,0.548598246
CUB,4.102095751
CUW,
CYM,2.083333333
CYP,2.867965368
CZE,0.984328455
DEU,0.581828604
DJI,
DMA,22.66666667
DNK,0.094647674
DOM,7.348375078
DZA,0.407181133
EAP,3.899750539
EAR,2.13260667
EAS,2.593099845
ECA,0.368768917
ECS,0.735106005
ECU,5.882589789
EGY,1.079913607
EMU,3.976572158
ERI,0.01980198
ESP,9.815877332
EST,0.146260911
ETH,1.14
EUU,2.824393205
FCS,0.860446311
FIN,0.010859192
FJI,4.652435687
FRA,1.817527673
FRO,
FSM,24.28571429
GAB,0.659758606
GBR,0.185177531
GEO,2.302489567
GHA,11.86604553
GIB,
GIN,2.848770959
GMB,0.494071146
GNB,8.890469417
GNQ,2.139037433
GRC,8.727695888
GRD,11.76470588
GRL,
GTM,9.901082493
GUM,16.66666667
GUY,0.152400305
HIC,0.601023745
HKG,0.952380952
HND,4.066493878
HPC,1.070930085
HRV,1.386704789
HTI,10.15965167
HUN,1.999337236
IBD,1.528807884
IBT,1.50583706
IDA,1.449579153
IDB,2.281525159
IDN,12.42016593
IDX,1.178141694
IMN,
IND,4.372408087
INX,
IRL,0.014515895
IRN,1.098504384
IRQ,0.541075705
ISL,
ISR,4.49168207
ITA,8.135581696
JAM,8.771929825
JOR,0.951790944
JPN,0.811937678
KAZ,0.048894322
KEN,0.931229574
KGZ,0.392075078
KHM,0.878087469
KIR,39.50617284
KNA,0.384615385
KOR,2.205580632
KWT,0.37037037
LAC,1.034448264
LAO,0.732235702
LBN,12.31671554
LBR,2.07641196
LBY,0.187549018
LCA,11.47540984
LCN,1.014467627
LDC,0.755631993
LIC,0.867867897
LIE,
LKA,15.94642003
LMC,3.536142293
LMY,1.52019685
LSO,0.164690382
LTE,1.114040508
LTU,0.544293695
LUX,0.598455598
LVA,0.09649405
MAC,
MAF,
MAR,3.274703114
MCO,
MDA,8.883480377
MDG,1.065658302
MDV,10
MEA,0.908081047
MEX,1.377093032
MHL,36.11111111
MIC,1.627646474
MKD,1.506740682
MLI,0.122931675
MLT,3.9375
MMR,2.373369266
MNA,1.143639417
MNE,0.372490706
MNG,0.003218414
MNP,2.173913043
MOZ,0.381494952
MRT,0.010672359
MUS,1.97044335
MWI,1.484938481
MYS,20.08826663
NAC,0.396964409
NAM,0.010931749
NCL,0.218818381
NER,0.078945291
NGA,7.136818297
NIC,2.376599634
NLD,1.07747106
NOR,0.012594286
NPL,1.478897803
NRU,20
NZL,0.254452926
OED,0.756401622
OMN,0.099515347
OSS,0.397578883
PAK,1.053341636
PAN,2.488566048
PER,1.07734375
PHL,17.94278432
PLW,4.347826087
PNG,1.545731573
POL,1.227995689
PRE,1.16208197
PRI,5.636978579
PRK,1.910140354
PRT,8.16549315
PRY,0.213944123
PSE,13.95348837
PSS,5.96105919
PST,0.66286605
PYF,6.284153005
QAT,0.215331611
ROU,1.847183588
RUS,0.097698767
RWA,10.13376571
SAS,3.354949527
SAU,0.067544623
SDN,0.070707071
SEN,0.35319171
SGP,0.141043724
SLB,2.85816363
SLE,2.285951787
SLV,10.37644788
SMR,
SOM,0.039850799
SRB,2.143837183
SSA,1.178597539
SSD,
SSF,1.17863386
SST,0.573617718
STP,40.625
SUR,0.038461538
SVK,0.390966186
SVN,2.635054618
SWE,0.022096192
SWZ,0.872093023
SXM,
SYC,3.043478261
SYR,5.83238033
TCA,
TCD,0.027795426
TEA,3.914868985
TEC,0.382700304
TGO,3.125574554
THA,8.808158312
TJK,1.00874728
TKM,0.12767859
TLA,0.99647317
TLS,5.043712172
TMN,1.134685101
TON,15.27777778
TSA,3.354949527
TSS,1.17863386
TTO,4.288499025
TUN,15.01029866
TUR,4.207216455
TUV,60
TZA,2.427184466
UGA,10.97147417
UKR,1.541542233
UMC,0.931293021
URY,0.222831676
USA,0.28423315
UZB,0.869769629
VCT,7.692307692
VEN,0.793605805
VGB,6.666666667
VIR,2.857142857
VNM,12.32689393
VUT,10.25430681
WLD,1.274309733
WSM,7.77385159
XKX,
YEM,0.564426009
ZAF,0.340452893
ZMB,0.048426802
ZWE,0.258498126