countrycode,exportvalue
1,23179501
10,6603139486
100,4288676216
101,3942710775
102,1744178038
103,821591568
104,3657978072
105,1200682505
106,12523682484
107,710952073
108,809191362
109,108647246
11,3560286947
110,15398689875
112,178352006
113,36141665
114,311324324
115,81182432
116,77028610
117,6618599980
118,1145175619
119,199153745
12,88423035
120,24797690
121,111273967
122,13729993
123,34889826
124,754641469
125,0
126,453811115
128,63381235
129,71255841
13,271856975
130,98236758
131,4756614330
132,3470041
133,69659938
134,73464794
135,110
136,32579782
137,137023434
138,4990594989
14,26870658
141,71132520
143,487273259
144,74589445
146,84539827
147,128641663
148,2297011
149,42890697
15,4112697507
150,17423359202
151,93009613
153,27957996
154,83985639
155,5744097
156,2536201498
157,160970901
158,32489063
159,1300065209
16,284695792
160,57405
161,166603
162,2355727368
164,984158
165,709427587
166,91753777
167,1904828970
168,177522667
169,326099220
17,2387088
170,657476927
171,1321269406
172,0
173,3260574377
174,1281188484
175,10304177
176,3287638
178,893936
179,818990913
18,9473438
180,0
181,210309445
182,342
183,1073365936
184,21748993
185,5387309324
186,62987620
187,6
188,4227668
189,12986507
19,172392033
190,563846
191,9640479
193,2468887
194,4421709870
195,88481703
196,6736772
197,13289708
198,485301016
199,897411364
2,48484440
20,123840150
200,5661888265
201,25611228
202,2036106020
203,7451280527
206,182653432
207,45027474
208,35039284
209,92832367
21,7958907979
210,3626913617
211,3991287533
212,334843767
213,137047625
214,4834071307
215,154770206
216,4713241017
217,43555480
219,1989172
22,49434544
220,237340733
221,556154624
222,377613824
223,2561879151
224,15
225,3361017732
226,128085417
227,29636
228,1806369660
229,12373241216
23,30817364
230,1349735094
231,37859424171
233,43867118
234,503855181
235,249778925
236,1276634680
237,1414247748
238,121375567
239,156092
24,0
242,0
244,2965186
248,307221984
249,131856416
25,11696596
250,104806827
251,132384032
255,7378104214
256,325305651
26,169917720
261,11561507214
266,10743402555
268,10017377390
269,9842733597
27,851379706
272,174112735
273,7500152
276,18429900
277,59
279,577
28,225414432
281,5
29,17809974
299,29706636
3,34382506
32,200446195
33,11893145773
35,794236
351,31826835292
36,638990
37,13160798
38,344832662
39,59777468
4,975105043
40,1536314040
41,19699864779
42,0
43,87
44,1276221409
45,3481650
46,114845655
47,606467
48,494291321
49,754187836
5,13145572
50,97660767
5000,3.57624E+11
51,348639267
5100,11496598531
5101,1563376037
5102,1359300015
5103,3409801371
5104,2395150198
5105,2768970874
52,252905907
5200,76573883842
5203,49755520880
5204,6681635856
5206,1648079781
5207,18488647310
53,50796392
5300,1.0141E+11
5301,1267198848
5302,53992286280
5303,7476128910
5304,22314571461
5305,16359343350
54,4446285702
5400,1.5868E+11
5401,19688823829
5402,29203104498
5403,23869837828
5404,85918181791
55,6236109
5500,9464333784
5501,9139507674
5502,290874663
5503,7280037
5504,26671417
56,227778516
5600,0
57,566358061
5706,1.41928E+11
57060,9773539184
58,614779579
5801,3372768322
5802,3586386947
5803,8130751282
5815,10880409509
5817,11589431705
59,614084439
6,80
60,207303738
61,123701527
62,43648409
63,220707022
64,19595720
65,1084249
66,67953307
67,1756922209
68,19182878886
69,6943
7,597756636
70,7877979
71,0
72,4090181
73,40505415
74,142336022
75,7569474
79,29944261892
8,2023355
80,67447473
81,291496026
82,143
83,1284031
84,1056244523
85,16
86,4677033
87,145
88,2714837
89,458408257
9,4047552465
90,38180635
91,72295140
93,21800515
95,247495493
96,7229517988
97,2158312244
98,261037681
99,92768751