countrycode,M49code,cntry.code2,cntry.code
2,4,AF,AFG
5100,2,,
3,8,AL,ALB
4,12,DZ,DZA
5200,19,,
7,24,AO,AGO
8,28,AG,ATG
9,32,AR,ARG
1,51,AM,ARM
5300,142,,
10,36,AU,AUS
5501,53,,
11,40,AT,AUT
52,31,AZ,AZE
12,44,BS,BHS
16,50,BD,BGD
14,52,BB,BRB
57,112,BY,BLR
255,56,BE,BEL
15,58,,
23,84,BZ,BLZ
53,204,BJ,BEN
17,60,BM,BMU
19,68,BO,BOL
80,70,BA,BIH
20,72,BW,BWA
21,76,BR,BRA
26,96,BN,BRN
27,100,BG,BGR
233,854,BF,BFA
35,132,CV,CPV
115,116,KH,KHM
32,120,CM,CMR
33,124,CA,CAN
5206,29,,
37,140,CF,CAF
5204,13,,
5301,143,,
39,148,TD,TCD
40,152,CL,CHL
351,156,,CPR
96,344,HK,HKG
128,446,MO,MAC
41,1248,CN,CHN
214,158,TW,TWN
44,170,CO,COL
46,178,CG,COG
48,188,CR,CRI
107,384,CI,CIV
98,191,HR,HRV
49,192,CU,CUB
50,196,CY,CYP
167,203,CZ,CZE
51,200,,
116,408,KP,PRK
54,208,DK,DNK
72,262,DJ,DJI
55,212,DM,DMA
56,214,DO,DOM
5101,14,,
5302,30,,
5401,,,
58,218,EC,ECU
59,818,EG,EGY
60,222,SV,SLV
63,233,EE,EST
238,231,ET,ETH
62,230,,
5400,150,,
5706,,,
66,242,FJ,FJI
67,246,FI,FIN
68,250,FR,FRA
70,258,PF,PYF
74,266,GA,GAB
75,270,GM,GMB
73,268,GE,GEO
79,276,DE,DEU
81,288,GH,GHA
84,300,GR,GRC
86,308,GD,GRD
89,320,GT,GTM
90,324,GN,GIN
175,624,GW,GNB
91,328,GY,GUY
93,332,HT,HTI
95,340,HN,HND
97,348,HU,HUN
99,352,IS,ISL
100,356,IN,IND
101,360,ID,IDN
102,364,IR,IRN
103,368,IQ,IRQ
104,372,IE,IRL
105,376,IL,ISR
106,380,IT,ITA
109,388,JM,JAM
110,392,JP,JPN
112,400,JO,JOR
108,398,KZ,KAZ
114,404,KE,KEN
83,296,KI,KIR
118,414,KW,KWT
113,417,KG,KGZ
5802,1225,,
120,418,LA,LAO
119,428,LV,LVA
5801,1224,,
121,422,LB,LBN
122,426,LS,LSO
123,430,LR,LBR
126,440,LT,LTU
5815,,,
256,442,LU,LUX
129,450,MG,MDG
130,454,MW,MWI
131,458,MY,MYS
132,462,MV,MDV
133,466,ML,MLI
134,470,MT,MLT
136,478,MR,MRT
137,480,MU,MUS
5502,54,,
138,484,MX,MEX
5503,57,,
5102,17,,
141,496,MN,MNG
273,499,ME,MNE
143,504,MA,MAR
144,508,MZ,MOZ
28,104,MM,MMR
147,516,NA,NAM
149,524,NP,NPL
5817,,,
150,528,NL,NLD
151,530,AN,ANT
153,540,NC,NCL
156,554,NZ,NZL
157,558,NI,NIC
158,562,NE,NER
159,566,NG,NGA
5103,15,,
5203,21,,
5402,154,,
162,578,NO,NOR
5500,9,,
221,512,OM,OMN
165,586,PK,PAK
166,591,PA,PAN
169,600,PY,PRY
170,604,PE,PER
171,608,PH,PHL
173,616,PL,POL
5504,61,,
174,620,PT,PRT
117,410,KR,KOR
146,498,MD,MDA
183,642,RO,ROU
185,643,RU,RUS
184,646,RW,RWA
188,659,KN,KNA
189,662,LC,LCA
191,670,VC,VCT
244,882,WS,WSM
193,678,ST,STP
194,682,SA,SAU
195,686,SN,SEN
272,688,RS,SRB
186,891,CS,SCG
197,694,SL,SLE
199,703,SK,SVK
198,705,SI,SVN
5803,1226,,
25,90,SB,SLB
202,710,ZA,ZAF
5207,5,,
5304,35,,
5104,,,
5303,34,,
5403,39,,
203,724,ES,ESP
38,144,LK,LKA
276,729,SD,SDN
206,736,SD,SDN
207,740,SR,SUR
209,748,SZ,SWZ
210,752,SE,SWE
211,756,CH,CHE
208,762,TJ,TJK
216,764,TH,THA
154,807,MK,MKD
176,626,TL,TLS
217,768,TG,TGO
220,780,TT,TTO
222,788,TN,TUN
223,792,TR,TUR
213,795,TM,TKM
226,800,UG,UGA
230,804,UA,UKR
225,784,AE,ARE
229,826,GB,GBR
215,834,TZ,TZA
231,840,US,USA
234,858,UY,URY
228,810,,
235,860,UZ,UZB
155,548,VU,VUT
236,862,VE,VEN
237,704,VN,VNM
5105,11,,
5305,145,,
5404,155,,
5000,1,,
249,887,YE,YEM
248,890,,
251,894,ZM,ZMB
181,716,ZW,ZWE