country,cntry.code,life.exp.birth.f,lebf.rnk
Afghanistan,AFG,62,183
Albania,ALB,80,55
Algeria,DZA,78,99
Andorra,AND,NaN,NaN
Angola,AGO,54,199
Antigua and Barbuda,ATG,80,59
Argentina,ARG,80,56
Armenia,ARM,78,86
Australia,AUS,84,14
Austria,AUT,84,21
Azerbaijan,AZE,77,107
Bahamas,BHS,78,81
Bahrain,BHR,78,94
Bangladesh,BGD,73,138
Barbados,BRB,78,87
Belarus,BLR,78,82
Belgium,BEL,84,27
Belize,BLZ,77,111
Benin,BEN,61,186
Bhutan,BTN,70,151
Bolivia,BOL,74,134
Bosnia Herzegovina,BIH,79,73
Botswana,BWA,67,163
Brazil,BRA,79,73
Brunei,BRN,81,51
Bulgaria,BGR,78,89
Burkina Faso,BFA,60,188
Burundi,BDI,61,185
Cambodia,KHM,66,165
Cameroon,CMR,59,193
Canada,CAN,84,23
Cape Verde,CPV,80,60
Central African Republic,CAF,53,202
Chad,TCD,53,203
Channel Islands,CHI,85,13
Chile,CHL,82,42
China,CHN,78,96
China Hong Kong SAR,HKG,87,2
China Macao SAR,MAC,86,4
Colombia,COL,79,78
Comoros,COM,65,172
Congo,COG,60,189
Congo Dem Rep,COD,52,205
Costa Rica,CRI,82,41
Cote dIvoire,CIV,53,204
Croatia,HRV,81,49
Cuba,CUB,82,46
Curacao,CUW,81,49
Cyprus,CYP,82,40
Czech Republic,CZE,82,44
Denmark,DNK,82,38
Djibouti,DJI,64,179
Dominica,DMA,77,105
Dominican Republic,DOM,77,108
Ecuador,ECU,79,72
Egypt,EGY,73,139
El Salvador,SLV,78,100
Equatorial Guinea,GNQ,59,192
Eritrea,ERI,66,168
Estonia,EST,82,47
Ethiopia,ETH,66,167
Federated States of Micronesia,FSM,72,145
Fiji,FJI,73,135
Finland,FIN,85,11
France,FRA,85,6
French Guiana,GUF,83,33
French Polynesia,PYF,79,67
Gabon,GAB,65,169
Gambia,GMB,62,184
Georgia,GEO,79,63
Germany,DEU,83,35
Ghana,GHA,63,180
Greece,GRC,84,25
Grenada,GRD,79,68
Guadeloupe,GLP,83,28
Guam,GUM,82,43
Guatemala,GTM,76,115
Guinea,GIN,59,190
Guinea Bissau,GNB,57,195
Guyana,GUY,69,152
Haiti,HTI,65,170
Honduras,HND,76,118
Hungary,HUN,79,69
Iceland,ISL,84,23
India,IND,70,150
Indonesia,IDN,73,140
Iran,IRN,77,112
Iraq,IRQ,72,144
Ireland,IRL,83,33
Israel,ISR,84,17
Italy,ITA,85,11
Jamaica,JAM,78,84
Japan,JPN,87,3
Jordan,JOR,76,122
Kazakhstan,KAZ,77,106
Kenya,KEN,65,170
Kiribati,KIR,68,156
Korea North,PRK,74,133
Korea South,KOR,86,5
Kosovo,XKX,79,63
Kuwait,KWT,76,117
Kyrgyzstan,KGZ,74,131
Laos,LAO,68,158
Latvia,LVA,80,60
Lebanon,LBN,78,79
Lesotho,LSO,50,207
Liberia,LBR,62,182
Libya,LBY,75,129
Liechtenstein,LIE,84,19
Lithuania,LTU,80,60
Luxembourg,LUX,85,9
Macedonia,MKD,77,101
Madagascar,MDG,67,162
Malawi,MWI,64,178
Malaysia,MYS,77,102
Maldives,MDV,78,91
Mali,MLI,54,200
Malta,MLT,84,15
Marshall Islands,MHL,72,141
Martinique,MTQ,84,19
Mauritania,MRT,65,174
Mauritius,MUS,78,97
Mayotte,MYT,78,90
Mexico,MEX,79,66
Moldova,MDA,76,121
Monaco,MCO,NaN,NaN
Mongolia,MNG,75,128
Montenegro,MNE,79,71
Morocco,MAR,75,124
Mozambique,MOZ,56,197
Myanmar,MMR,68,157
Namibia,NAM,67,159
Nauru,NRU,70,147
Nepal,NPL,69,153
Netherlands,NLD,83,30
New Caledonia,NCL,80,54
New Zealand,NZL,83,32
Nicaragua,NIC,78,88
Niger,NER,62,181
Nigeria,NGA,53,201
Norway,NOR,84,15
Oman,OMN,78,79
Pakistan,PAK,67,161
Palau,PLW,76,114
Palestinian Territory,PSE,75,127
Panama,PAN,81,51
Papua New Guinea,PNG,65,173
Paraguay,PRY,75,125
Peru,PER,77,104
Philippines,PHL,72,143
Poland,POL,82,45
Portugal,PRT,83,31
Puerto Rico,PRI,83,36
Qatar,QAT,80,58
Reunion,REU,84,22
Romania,ROU,79,69
Russia,RUS,77,110
Rwanda,RWA,66,166
Saint Lucia,LCA,82,38
Samoa,WSM,76,120
San Marino,SMR,89,1
Sao Tome and Principe,STP,68,154
Saudi Arabia,SAU,75,123
Senegal,SEN,68,155
Serbia,SRB,78,95
Seychelles,SYC,79,75
Sierra Leone,SLE,52,206
Singapore,SGP,85,10
Slovakia,SVK,80,57
Slovenia,SVN,84,25
Solomon Islands,SLB,73,137
Somalia,SOM,57,194
South Africa,ZAF,64,177
South Sudan,SSD,57,196
Spain,ESP,85,6
Sri Lanka,LKA,78,83
St Kitts Nevis,KNA,78,93
St Vincent and the Grenadines,VCT,75,125
Sudan,SDN,64,175
Suriname,SUR,74,132
Swaziland,SWZ,48,208
Sweden,SWE,84,18
Switzerland,CHE,85,8
Syria,SYR,77,109
Taiwan,TWN,83,29
Tajikistan,TJK,73,136
Tanzania,TZA,66,164
Thailand,THA,79,76
Timor Leste,TLS,70,148
Togo,TGO,61,187
Tonga,TON,78,97
Trinidad and Tobago,TTO,78,92
Tunisia,TUN,77,103
Turkey,TUR,79,63
Turkmenistan,TKM,70,149
Tuvalu,TUV,72,142
Uganda,UGA,64,176
Ukraine,UKR,76,113
United Arab Emirates,ARE,79,77
United Kingdom,GBR,83,37
United States,USA,81,48
Uruguay,URY,81,53
Uzbekistan,UZB,76,119
Vanuatu,VUT,75,130
Venezuela,VEN,78,85
Vietnam,VNM,76,115
Western Sahara,ESH,71,146
Yemen,YEM,67,160
Zambia,ZMB,56,198
Zimbabwe,ZWE,59,191