cntry.code,hc.exp.USDpc
ABW,
AFG,56.57452735
AGO,179.3578537
ALB,272.2042915
AND,3746.334157
ARB,356.1130011
ARE,1610.79898
ARG,605.1878448
ARM,161.5523856
ASM,
ATG,773.7122465
AUS,6031.107458
AUT,5580.493943
AZE,471.4143956
BDI,21.55325396
BEL,4884.066261
BEN,37.88944806
BFA,35.19599866
BGD,30.83346991
BGR,661.8465273
BHR,1242.844177
BHS,1720.159467
BIH,463.6399279
BLR,450.2139558
BLZ,278.5792093
BMU,
BOL,208.7841942
BRA,947.427696
BRB,1146.041691
BRN,957.605998
BTN,88.79259723
BWA,385.314097
CAF,15.5874302
CAN,5291.74613
CEB,952.6007502
CHE,9673.523535
CHI,
CHL,1137.356265
CHN,419.7342406
CIV,88.37029761
CMR,58.6522027
COD,19.0536902
COG,161.6386006
COL,569.1852903
COM,56.76149624
CPV,173.305672
CRI,970.002032
CSS,596.3032641
CUB,816.6235369
CUW,
CYM,
CYP,1819.112996
CZE,1378.521202
DEU,5410.634639
DJI,190.7601074
DMA,407.8128301
DNK,6463.243218
DOM,268.9943173
DZA,361.7291743
EAP,333.9076249
EAR,178.0433175
EAS,643.4257775
ECA,569.7574596
ECS,2419.768065
ECU,579.1924445
EGY,177.7683606
EMU,4135.155858
ERI,25.20042878
ESP,2658.270424
EST,1248.279632
ETH,26.64777614
EUU,3612.935253
FCS,80.09436136
FIN,4612.290456
FJI,204.0112117
FRA,4958.989226
FRO,
FSM,414.9857828
GAB,321.3300907
GBR,3934.823561
GEO,302.6006332
GHA,57.89263246
GIB,
GIN,30.46022073
GMB,30.72368182
GNB,37.27708811
GNQ,663.0542294
GRC,1743.037533
GRD,505.8299094
GRL,
GTM,232.6252272
GUM,
GUY,221.7832703
HIC,5251.190902
HKG,
HND,212.3151508
HPC,52.86617059
HRV,1050.334391
HTI,61.45512168
HUN,1036.623859
IBD,349.2819871
IBT,274.0575782
IDA,64.89830935
IDB,95.02498224
IDN,99.41035911
IDX,48.23062012
IMN,
IND,74.99460433
INX,
IRL,4239.154489
IRN,350.7386071
IRQ,292.0043788
ISL,4661.621362
ISR,2910.288637
ITA,3257.75341
JAM,266.1901164
JOR,358.9124715
JPN,3702.952775
KAZ,538.7827771
KEN,77.69658603
KGZ,81.5662616
KHM,61.28475128
KIR,154.1717478
KNA,770.5368532
KOR,2060.248497
KWT,1385.776935
LAC,695.5713036
LAO,32.56967352
LBN,568.7148319
LBR,46.27042196
LBY,371.7218704
LCA,499.5702282
LCN,714.1007797
LDC,45.68383539
LIC,36.72599295
LIE,
LKA,127.3317445
LMC,90.00932694
LMY,267.1199501
LSO,105.1127528
LTE,523.6950906
LTU,1063.421183
LUX,8137.520806
LVA,920.7037654
MAC,
MAF,
MAR,190.0539696
MCO,8148.808358
MDA,228.8466711
MDG,13.67082999
MDV,1165.12515
MEA,433.3308771
MEX,677.1899867
MHL,625.2021795
MIC,291.8709336
MKD,353.9253425
MLI,47.76513899
MLT,2470.59851
MMR,20.28780579
MNA,253.45458
MNE,457.6649363
MNG,195.3334787
MNP,
MOZ,41.99657338
MRT,48.83750877
MUS,482.4541727
MWI,29.01885819
MYS,455.8255255
NAC,8990.314917
NAM,499.0156838
NCL,
NER,24.39611462
NGA,117.520545
NIC,177.4628952
NLD,5693.859921
NOR,9522.221658
NPL,39.86817954
NRU,516.4416809
NZL,4896.348025
OED,4735.424993
OMN,675.0433935
OSS,667.1367445
PAK,36.15485065
PAN,958.9817662
PER,358.5769444
PHL,135.2022258
PLW,1150.302172
PNG,92.35819164
POL,910.2837803
PRE,80.84727247
PRI,
PRK,
PRT,2096.823176
PRY,464.0923634
PSE,
PSS,210.6458191
PST,5391.918801
PYF,
QAT,2106.355503
ROU,556.8096847
RUS,892.8515629
RWA,52.48366269
SAS,66.71551051
SAU,1147.445577
SDN,129.8438771
SEN,49.53139304
SGP,2752.320439
SLB,102.2431255
SLE,85.90729075
SLV,279.6467283
SMR,3459.066537
SOM,
SRB,632.9248415
SSA,97.63291387
SSD,30.04834312
SSF,97.67051258
SST,625.5829966
STP,165.5537174
SUR,588.627784
SVK,1454.81013
SVN,2160.746701
SWE,6807.717778
SWZ,247.8964248
SXM,
SYC,494.1282842
SYR,66.45497393
TCA,
TCD,37.10492956
TEA,333.9085557
TEC,603.0911229
TGO,33.89092289
THA,360.3830032
TJK,76.39130143
TKM,186.7162285
TLA,711.3565427
TLS,57.08171056
TMN,253.45458
TON,212.9750355
TSA,66.71551051
TSS,97.67051258
TTO,1136.305529
TUN,305.305519
TUR,567.6311267
TUV,632.8411611
TZA,51.71747631
UGA,52.29424027
UKR,202.6585798
UMC,517.7015629
URY,1442.276451
USA,9402.536971
UZB,124.1090975
VCT,575.057346
VEN,873.3843222
VGB,
VIR,
VNM,142.3738891
VUT,157.5106888
WLD,1060.987128
WSM,301.0971126
XKX,
YEM,79.93696624
ZAF,570.2060736
ZMB,85.85307416
ZWE,57.71045218