cntry.code,imp.san.pcaccess2011.15
ABW,97.7
AFG,31.04
AGO,50
ALB,92.54
AND,100
ARB,82.98646024
ARE,97.52
ARG,95.8
ARM,89.5
ASM,62.48
ATG,91.4
AUS,100
AUT,100
AZE,86.28
BDI,47.7
BEL,99.5
BEN,18.9
BFA,18.94
BGD,58.68
BGR,85.98
BHR,99.2
BHS,91.94
BIH,94.8
BLR,94.36
BLZ,90.34
BMU,
BOL,49.14
BRA,82.06
BRB,95.4
BRN,
BTN,49.58
BWA,62.78
CAF,21.54
CAN,99.8
CEB,92.5300506
CHE,99.9
CHI,
CHL,98.84
CHN,74.22
CIV,21.94
CMR,45.38
COD,27.94
COG,14.74
COL,80.56
COM,34.86
CPV,69.72
CRI,94.38
CSS,85.83772038
CUB,92.88
CUW,
CYM,95.58
CYP,100
CZE,99.1
DEU,99.2
DJI,47.34
DMA,
DNK,99.6
DOM,83.26
DZA,87.2
EAP,72.96177199
EAR,56.19408453
EAS,75.48780897
ECA,85.68514226
ECS,92.9016486
ECU,83.54
EGY,94.7
EMU,98.91376551
ERI,15.38
ESP,99.9
EST,97.2
ETH,25.52
EUU,97.75443447
FCS,42.2226037
FIN,97.6
FJI,91.08
FRA,98.7
FRO,
FSM,56.66
GAB,41.58
GBR,99.2
GEO,87.5
GHA,14.56
GIB,
GIN,19.36
GMB,58.8
GNB,20.36
GNQ,74.76
GRC,98.96
GRD,98
GRL,100
GTM,63.26
GUM,89.8
GUY,83.62
HIC,99.36304945
HKG,
HND,81.04
HPC,26.36434647
HRV,97.08
HTI,27.02
HUN,98
IBD,66.3913448
IBT,60.40688107
IDA,43.36017039
IDB,54.22142739
IDN,59.56
IDX,37.20833792
IMN,
IND,38.32
INX,
IRL,90.38
IRN,89.74
IRQ,85.12
ISL,98.8
ISR,100
ITA,99.5
JAM,81.74
JOR,98.58
JPN,100
KAZ,97.48
KEN,29.82
KGZ,93.1
KHM,38.96
KIR,39.6
KNA,
KOR,100
KWT,100
LAC,81.69445429
LAO,67.06
LBN,80.7
LBR,16.36
LBY,96.6
LCA,89.9
LCN,82.40417904
LDC,36.13700114
LIC,27.40415116
LIE,
LKA,94.3
LMC,50.53625748
LMY,60.18389141
LSO,29.7
LTE,77.76018225
LTU,91.6
LUX,97.6
LVA,86.94
MAC,
MAF,
MAR,76.02
MCO,100
MDA,76.04
MDG,11.74
MDV,97.98
MEA,89.95987608
MEX,84.28
MHL,76.46
MIC,63.82873527
MKD,90.94
MLI,23.78
MLT,100
MMR,79.2
MNA,88.33275963
MNE,95.04
MNG,58.48
MNP,79.6
MOZ,20.06
MRT,38.86
MUS,93.08
MWI,40.12
MYS,95.92
NAC,99.98002103
NAM,33.56
NCL,100
NER,10.42
NGA,29.6
NIC,67.2
NLD,97.76
NOR,98.1
NPL,42.64
NRU,65.6
NZL,
OED,97.62196427
OMN,96.7
OSS,62.36192786
PAK,60.02
PAN,73.94
PER,74.56
PHL,72.5
PLW,100
PNG,18.9
POL,96.32
PRE,29.09621754
PRI,99.3
PRK,81.86
PRT,99.54
PRY,86.54
PSE,92.2
PSS,67.93395979
PST,99.20691444
PYF,98.46
QAT,98.02
ROU,78.58
RUS,72.22
RWA,59.94
SAS,43.15910294
SAU,100
SDN,23.55
SEN,46.6
SGP,100
SLB,29.2
SLE,12.98
SLV,73.4
SMR,
SOM,23.5
SRB,96.48
SSA,29.02036703
SSD,6.66
SSF,29.02706313
SST,67.04851537
STP,34.5
SUR,79.26
SVK,98.8
SVN,99.1
SWE,99.3
SWZ,57.4
SXM,
SYC,98.4
SYR,95.6
TCA,
TCD,11.98
TEA,72.85017498
TEC,86.7104576
TGO,11.56
THA,93.12
TJK,94.62
TKM,
TLA,82.08699287
TLS,40.08
TMN,88.2847813
TON,91.16
TSA,43.15910294
TSS,29.02706313
TTO,91.5
TUN,90.8
TUR,94.1
TUV,83.3
TZA,14.54
UGA,18.74
UKR,95.82
UMC,78.53170665
URY,96.08
USA,100
UZB,100
VCT,
VEN,94.14
VGB,97.5
VIR,96.4
VNM,74.7
VUT,57.88
WLD,66.46117736
WSM,91.54
XKX,
YEM,53.15
ZAF,65.26
ZMB,43.46
ZWE,37.16