cntry.code,land.area15
ABW,180
AFG,652860
AGO,1246700
ALB,27400
AND,470
ARB,13621413
ARE,83600
ARG,2736690
ARM,28470
ASM,200
ATG,440
AUS,7682300
AUT,82523
AZE,82663
BDI,25680
BEL,30280
BEN,112760
BFA,273600
BGD,130170
BGR,108560
BHR,771
BHS,10010
BIH,51200
BLR,202910
BLZ,22810
BMU,50
BOL,1083300
BRA,8358140
BRB,430
BRN,5270
BTN,38117
BWA,566730
CAF,622980
CAN,9093510
CEB,1103976
CHE,39516
CHI,190
CHL,743532
CHN,9388211
CIV,318000
CMR,472710
COD,2267050
COG,341500
COL,1109500
COM,1861
CPV,4030
CRI,51060
CSS,404850
CUB,104020
CUW,444
CYM,240
CYP,9240
CZE,77210
DEU,348900
DJI,23180
DMA,750
DNK,42262
DOM,48310
DZA,2381741
EAP,15913941
EAR,33107715
EAS,24387020.3
ECA,22622066
ECS,27439638
ECU,248360
EGY,995450
EMU,2678181
ERI,101000
ESP,500210
EST,42390
ETH,1000000
EUU,4238213
FCS,14820928
FIN,303890
FJI,18270
FRA,547557
FRO,1396
FSM,700
GAB,257670
GBR,241930
GEO,69490
GHA,227540
GIB,10
GIN,245720
GMB,10120
GNB,28120
GNQ,28050
GRC,128900
GRD,340
GRL,410450
GTM,107160
GUM,540
GUY,196850
HIC,35073136.7
HKG,1050
HND,111890
HPC,19754791
HRV,55960
HTI,27560
HUN,90530
IBD,67941107
IBT,95716398
IDA,27775291
IDB,6824470
IDN,1811570
IDX,20950821
IMN,570
IND,2973190
INX,
IRL,68890
IRN,1628760
IRQ,434320
ISL,100250
ISR,21640
ITA,294140
JAM,10830
JOR,88780
JPN,364560
KAZ,2699700
KEN,569140
KGZ,191800
KHM,176520
KIR,810
KNA,260
KOR,97480
KWT,17820
LAC,19093270
LAO,230800
LBN,10230
LBR,96320
LBY,1759540
LCA,610
LCN,20039364.4
LDC,20166848
LIC,13382221
LIE,160
LKA,62710
LMC,21752930
LMY,94660036
LSO,30360
LTE,44530502
LTU,62650
LUX,2590
LVA,62180
MAC,30.3
MAF,54.4
MAR,446300
MCO,2
MDA,32870
MDG,581800
MDV,300
MEA,11236232
MEX,1943950
MHL,180
MIC,81277815
MKD,25220
MLI,1220190
MLT,320
MMR,653080
MNA,8641281
MNE,13450
MNG,1553560
MNP,460
MOZ,786380
MRT,1030700
MUS,2030
MWI,94280
MYS,328550
NAC,18240980
NAM,823290
NCL,18280
NER,1266700
NGA,910770
NIC,120340
NLD,33690
NOR,365245
NPL,143350
NRU,20
NZL,263310
OED,34403746
OMN,309500
OSS,2030709
PAK,770880
PAN,74340
PER,1280000
PHL,298170
PLW,460
PNG,452860
POL,306190
PRE,20165531
PRI,8870
PRK,120410
PRT,91605
PRY,397300
PSE,6020
PSS,64200
PST,31464577.3
PYF,3660
QAT,11610
ROU,230080
RUS,16376870
RWA,24670
SAS,4771577
SAU,2149690
SDN,2376000
SEN,192530
SGP,709
SLB,27990
SLE,72180
SLV,20720
SMR,60
SOM,627340
SRB,87460
SSA,23617901
SSD,619745
SSF,23618361
SST,2499759
STP,960
SUR,156000
SVK,48086
SVN,20140
SWE,407310
SWZ,17200
SXM,34
SYC,460
SYR,183630
TCA,950
TCD,1259200
TEA,15793351
TEC,22984216
TGO,54390
THA,510890
TJK,138786
TKM,469930
TLA,19913632
TLS,14870
TMN,8635261
TON,720
TSA,4771577
TSS,23618361
TTO,5130
TUN,155360
TUR,769630
TUV,30
TZA,885800
UGA,200520
UKR,579290
UMC,59524885
URY,175020
USA,9147420
UZB,425400
VCT,390
VEN,882050
VGB,150
VIR,350
VNM,310070
VUT,12190
WLD,129733172.7
WSM,2830
XKX,10887
YEM,527970
ZAF,1213090
ZMB,743390
ZWE,386850